tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
7/4/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,104
7/4/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,17
7/4/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,37
7/4/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,115
7/4/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,124
7/4/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,95
7/4/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,182
7/4/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,Dosis 1,361
7/4/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,53
7/4/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,147
7/4/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,127
7/4/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,138
7/4/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,100
7/4/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,121
7/4/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,57
7/4/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,179
7/4/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,134
7/4/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/4/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,90
7/4/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,153
7/4/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,199
7/4/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,94
7/4/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,140
7/4/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,257
7/4/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,65
7/4/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,388
7/4/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,208
7/4/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,169
7/4/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,313
7/4/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/4/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,312
7/4/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,124
7/4/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,Dosis 1,266
7/4/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,Dosis 1,254
7/4/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,Dosis 1,198
7/4/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,Dosis 1,167
7/5/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,Dosis 1,251
7/5/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,Dosis 1,134
7/5/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,Dosis 1,275
7/5/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,Dosis 1,334
7/5/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,Dosis 1,352
7/5/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,Dosis 1,161
7/5/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,Dosis 1,113
7/5/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,Dosis 1,87
7/5/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,Dosis 1,104
7/5/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,Dosis 1,17
7/5/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,Dosis 1,37
7/5/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,Dosis 1,115
7/5/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,Dosis 1,124
7/5/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,Dosis 1,95
7/5/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,Dosis 1,182
7/5/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,Dosis 1,361
7/5/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,Dosis 1,53
7/5/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,Dosis 1,147
7/5/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,Dosis 1,127
7/5/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,Dosis 1,138
7/5/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,Dosis 1,100
7/5/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,Dosis 1,121
7/5/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,Dosis 1,57
7/5/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,Dosis 1,179
7/5/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,Dosis 1,134
7/5/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,Dosis 1,61
7/5/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,Dosis 1,90
7/5/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,Dosis 1,153
7/5/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,Dosis 1,199
7/5/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,Dosis 1,94
7/5/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,Dosis 1,140
7/5/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,Dosis 1,257
7/5/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,Dosis 1,65
7/5/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,Dosis 1,388
7/5/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,Dosis 1,208
7/5/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,Dosis 1,169
7/5/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,Dosis 1,313
7/5/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,Dosis 1,83
7/5/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,Dosis 1,312
7/5/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,Dosis 1,124
